id,date,total,collected,outstanding,status
6a96bf3a13177b0cd8f52d00,2026-09-01T12:04:10.307Z,35000,35000,0,completed
6a96bf5813177b0cd8f52d7e,2026-09-01T12:04:40.023Z,165000,100000,65000,partially_paid
6a96ddb213177b0cd8f5359c,2026-09-01T14:14:10.515Z,40000,40000,0,completed
6a96de4e13177b0cd8f53651,2026-09-01T14:16:46.759Z,150000,150000,0,completed
6a96de6913177b0cd8f536f7,2026-09-01T14:17:12.522Z,25000,25000,0,completed
6a96e18513177b0cd8f53c43,2026-09-01T14:30:29.704Z,45000,45000,0,completed
6a96f379ffdbe028577dd225,2026-09-01T15:47:04.983Z,25000,25000,0,completed
6a96f398ffdbe028577dd2bb,2026-09-01T15:47:36.127Z,150000,150000,0,completed
6a96f3b3ffdbe028577dd363,2026-09-01T15:48:03.192Z,20000,20000,0,completed
6a96f8baffdbe028577de1fa,2026-09-01T16:09:30.867Z,440000,300000,140000,partially_paid
6a981d1f2397cdd4d6b55f48,2026-09-02T12:57:03.692Z,30000,30000,0,completed
6a983382bdc417da78d5e275,2026-09-02T14:32:34.013Z,200000,100000,100000,partially_paid
6a985043c45269cdd392a04a,2026-09-02T16:35:14.864Z,125000,50000,75000,partially_paid
6a99555231111b97c04e468d,2026-09-03T11:09:06.615Z,120000,120000,0,completed
6a998aaf101aca1582114dbc,2026-09-03T14:56:47.099Z,190000,190000,0,completed
6a99a8e1d499d548a4c5ed65,2026-09-03T17:05:37.006Z,120000,50000,70000,partially_paid
6a9ab8188dac608c49808b69,2026-09-04T12:22:48.504Z,50000,50000,0,completed
6a9ab9de8dac608c49808d0b,2026-09-04T12:30:22.703Z,120000,120000,0,completed
6a9addb432206c437fe5f2f0,2026-09-04T15:03:16.546Z,165000,165000,0,completed
6a9ae463405e1510c6fd2710,2026-09-04T15:31:47.257Z,150000,150000,0,completed
6a9aef8c706574950c8afb15,2026-09-04T16:19:23.762Z,70000,70000,0,completed
6a9af64a47c45da599017691,2026-09-04T16:48:10.727Z,110000,0,110000,pending
6a9af79c47c45da599017be1,2026-09-04T16:53:48.013Z,90000,90000,0,returned
